"","participant","song","valence_target","arousal_target","affectcat","songmark","word","songtrials_this_trial_n","rep_number","trial_number","arousal_rating","valence_rating","liking","emotion_rating","emotion_target","anxious","ashamed","scared","alert","angry","happy","active","sad","guilty","tender","frustrated","excited","na"
"942","030","30MonoWAV/30MonoS1.wav","negative","low",3,9,"SAD",3,1,19,2,2,3,3,"sad",2,2,3,2,1,1,2,3,2,2,1,1,NA
"943","030","30MonoWAV/30MonoH2.wav","positive","high",1,6,"ANXIOUS",4,1,20,3,3,3,2,"happy",2,2,2,2,1,2,2,2,2,2,1,1,NA
"944","030","30MonoWAV/30MonoH3.wav","positive","high",1,7,"EXCITED",5,1,21,3,3,3,3,"happy",1,1,1,2,1,3,2,1,1,2,1,3,NA
"945","030","30MonoWAV/30MonoF4.wav","negative","high",2,4,"FRUSTRATED",6,1,22,4,3,4,1,"fear",1,1,1,4,1,2,3,1,1,1,1,3,NA
"946","030","30MonoWAV/30MonoT3.wav","positive","low",4,15,"FRUSTRATED",7,1,23,2,2,3,1,"tender",2,2,1,2,1,1,1,3,2,2,1,1,NA
"947","030","30MonoWAV/30MonoS3.wav","negative","low",3,11,"ANGRY",8,1,24,2,2,3,1,"sad",2,2,2,3,1,1,1,3,2,2,1,2,NA
"948","030","30MonoWAV/30MonoT1.wav","positive","low",4,13,"ASHAMED",9,1,25,2,2,2,2,"tender",2,2,2,2,1,2,1,3,2,2,1,1,NA
"949","030","30MonoWAV/30MonoH1.wav","positive","high",1,5,"TENDER",10,1,26,3,3,3,1,"happy",1,1,1,2,1,3,3,1,1,1,1,3,NA
"950","030","30MonoWAV/30MonoS2.wav","negative","low",3,10,"GUILTY",11,1,27,2,2,3,2,"sad",2,2,2,1,2,1,1,3,2,2,1,1,NA
"951","030","30MonoWAV/30MonoT4.wav","positive","low",4,16,"ANXIOUS",12,1,28,3,3,3,1,"tender",1,1,1,2,1,3,2,2,2,2,1,2,NA
"952","030","30MonoWAV/30MonoF1.wav","negative","high",2,1,"SCARED",13,1,29,3,3,3,1,"fear",1,1,1,4,1,2,3,1,1,1,1,3,NA
"953","030","30MonoWAV/30MonoH4.wav","positive","high",1,8,"FRUSTRATED",14,1,30,3,3,3,1,"happy",1,1,1,2,1,3,3,1,1,1,1,3,NA
"954","030","30MonoWAV/30MonoF2.wav","negative","high",2,2,"TENDER",15,1,31,3,2,3,1,"fear",2,2,3,3,1,1,2,1,2,1,1,2,NA
"955","031","30MonoWAV/30MonoT2.wav","positive","low",4,14,"SCARED",0,0,0,1,1,2,1,"tender",1,1,1,2,1,2,1,2,1,2,1,2,NA
"956","031","30MonoWAV/30MonoS1.wav","negative","low",3,9,"SCARED",1,0,1,1,2,2,2,"sad",2,1,2,1,1,2,2,2,1,3,1,1,NA
"957","031","30MonoWAV/30MonoT3.wav","positive","low",4,15,"ASHAMED",2,0,2,1,1,1,1,"tender",2,1,1,1,2,1,1,2,1,2,2,1,NA
"958","031","30MonoWAV/30MonoF2.wav","negative","high",2,2,"FRUSTRATED",3,0,3,3,1,1,2,"fear",2,1,3,2,2,1,2,2,1,1,2,2,NA
"959","031","30MonoWAV/30MonoF1.wav","negative","high",2,1,"ANGRY",4,0,4,3,1,1,2,"fear",3,1,2,3,2,1,3,1,1,1,2,3,NA
"960","031","30MonoWAV/30MonoT1.wav","positive","low",4,13,"ASHAMED",5,0,5,2,3,3,1,"tender",2,1,1,2,1,3,2,2,1,3,1,2,NA
"961","031","30MonoWAV/30MonoH3.wav","positive","high",1,7,"ANGRY",6,0,6,3,1,1,2,"happy",2,1,1,2,2,1,2,1,1,2,2,2,NA
"962","031","30MonoWAV/30MonoH1.wav","positive","high",1,5,"EXCITED",7,0,7,3,3,3,3,"happy",1,1,1,3,1,3,2,1,1,2,1,3,NA
"963","031","30MonoWAV/30MonoT4.wav","positive","low",4,16,"HAPPY",8,0,8,3,1,1,1,"tender",2,1,1,1,2,1,2,2,1,2,2,2,NA
"964","031","30MonoWAV/30MonoH4.wav","positive","high",1,8,"SCARED",9,0,9,3,3,3,1,"happy",1,1,1,3,1,3,3,1,1,2,1,3,NA
"965","031","30MonoWAV/30MonoF4.wav","negative","high",2,4,"ACTIVE",10,0,10,3,1,1,2,"fear",2,1,2,2,2,1,2,2,1,1,2,1,NA
"966","031","30MonoWAV/30MonoH2.wav","positive","high",1,6,"SCARED",11,0,11,2,1,1,2,"happy",1,1,2,2,1,1,2,1,1,2,2,1,NA
"967","031","30MonoWAV/30MonoS4.wav","negative","low",3,12,"ANGRY",12,0,12,2,3,3,1,"sad",1,1,1,2,1,3,2,1,1,3,1,2,NA
"968","031","30MonoWAV/30MonoS3.wav","negative","low",3,11,"SCARED",13,0,13,2,1,1,2,"sad",3,1,2,3,2,1,1,2,1,2,2,2,NA
"969","031","30MonoWAV/30MonoS2.wav","negative","low",3,10,"ALERT",14,0,14,2,2,2,1,"sad",2,1,1,1,1,2,2,3,1,3,2,1,NA
"970","031","30MonoWAV/30MonoF3.wav","negative","high",2,3,"EXCITED",15,0,15,3,1,1,2,"fear",2,1,2,2,2,2,2,1,1,2,3,2,NA
"971","031","30MonoWAV/30MonoS1.wav","negative","low",3,9,"TENDER",0,1,16,2,1,1,2,"sad",3,1,1,1,1,1,1,3,1,2,2,2,NA
"972","031","30MonoWAV/30MonoH1.wav","positive","high",1,5,"HAPPY",1,1,17,3,4,4,4,"happy",1,1,1,3,1,4,3,1,1,3,1,3,NA
"973","031","30MonoWAV/30MonoT1.wav","positive","low",4,13,"TENDER",2,1,18,1,3,3,3,"tender",1,1,1,1,1,2,1,2,1,3,1,2,NA
